SnapshotDate,TransactionType,FTR_ID,Source,Sink,MW_Current,OriginalAcquisitionCost,MW_Previous,MW_Sold,Notes,HedgeType,StartDate,EndDate,AcquisitionCost_Previous,AcquisitionCost_Current,SaleProceeds,Profit,TradingPeriods,PricePerMW
2026-01-31,INITIAL,7727222,WKM,OTA,0.3,2613.6,,,,,,,,,,,,
2026-01-31,INITIAL,7726904,WKM,OTA,0.0,22651.2,,,,,,,,,,,,
2026-01-31,INITIAL,7727228,WKM,OTA,1.2,9832.32,,,,,,,,,,,,
2026-01-31,INITIAL,7727226,WKM,OTA,27.0,221227.2,,,,,,,,,,,,
2026-01-31,INITIAL,7726726,WKM,OTA,8.5,69645.6,,,,,,,,,,,,
2026-01-31,INITIAL,7727029,WKM,OTA,10.0,81936.0,,,,,,,,,,,,
2026-01-31,INITIAL,7727026,WKM,OTA,15.0,122904.0,,,,,,,,,,,,
2026-01-31,INITIAL,7727027,WKM,OTA,10.0,81936.0,,,,,,,,,,,,
2026-01-31,INITIAL,7727028,WKM,OTA,10.0,81936.0,,,,,,,,,,,,
2026-01-31,INITIAL,7727030,WKM,OTA,5.0,40968.0,,,,,,,,,,,,
2026-01-31,INITIAL,7727218,BEN,HAY,2.7,36974.88,,,,,,,,,,,,
2026-01-31,INITIAL,7726780,BEN,HAY,13.1,179396.64,,,,,,,,,,,,
2026-01-31,INITIAL,7727153,BEN,INV,13.4,26339.04,,,,,,,,,,,,
2026-01-31,INITIAL,7726787,BEN,ISL,0.0,122774.4,,,,,,,,,,,,
2026-01-31,INITIAL,7727230,BEN,ISL,8.5,71971.2,,,,,,,,,,,,
2026-01-31,INITIAL,7727214,BEN,ISL,31.8,269256.96,,,,,,,,,,,,
2026-01-31,INITIAL,7726789,BEN,KIK,0.0,145658.88,,,,,,,,,,,,
2026-01-31,INITIAL,7726856,BEN,KIK,0.0,1255.68,,,,,,,,,,,,
2026-01-31,INITIAL,9269906,HAY,BEN,5.0,6056.4,,,,,,,,,,,,
2026-01-31,INITIAL,9269907,HAY,BEN,5.0,6056.4,,,,,,,,,,,,
2026-01-31,INITIAL,9269815,HAY,BEN,24.0,29070.72,,,,,,,,,,,,
2026-01-31,INITIAL,9269912,HAY,BEN,11.0,13324.08,,,,,,,,,,,,
2026-01-31,INITIAL,9270127,HAY,BEN,0.8,969.02,,,,,,,,,,,,
2026-01-31,INITIAL,9270371,HAY,BEN,1.6,1938.05,,,,,,,,,,,,
2026-01-31,INITIAL,9270037,INV,BEN,0.6,372.04,,,,,,,,,,,,
2026-01-31,INITIAL,9269567,INV,BEN,11.0,6820.66,,,,,,,,,,,,
2026-01-31,INITIAL,9269534,INV,BEN,9.9,6138.59,,,,,,,,,,,,
2026-01-31,INITIAL,9269535,HAY,WKM,16.4,30979.93,,,,,,,,,,,,
2026-01-31,INITIAL,9270188,HAY,WKM,0.2,377.8,,,,,,,,,,,,
2026-01-31,INITIAL,9270063,HAY,WKM,0.6,1133.41,,,,,,,,,,,,
2026-01-31,INITIAL,9269565,HAY,WKM,11.0,20779.22,,,,,,,,,,,,
2026-01-31,INITIAL,9270119,HAY,WKM,8.4,15867.77,,,,,,,,,,,,
2026-01-31,INITIAL,9270351,ISL,BEN,0.1,4.33,,,,,,,,,,,,
2026-01-31,INITIAL,9270117,BEN,HAY,3.1,31447.86,,,,,,,,,,,,
2026-01-31,INITIAL,9269548,BEN,HAY,10.3,104488.04,,,,,,,,,,,,
2026-01-31,INITIAL,9269713,ISL,HAY,15.7,11319.7,,,,,,,,,,,,
2026-01-31,INITIAL,9270076,KIK,HAY,3.0,194.67,,,,,,,,,,,,
2026-01-31,INITIAL,9269668,KIK,HAY,16.6,1077.17,,,,,,,,,,,,
2026-01-31,INITIAL,9270357,KIK,HAY,23.6,1531.4,,,,,,,,,,,,
2026-01-31,INITIAL,9270097,OTA,HAY,3.0,-18125.94,,,,,,,,,,,,
2026-01-31,INITIAL,9270120,WKM,HAY,2.3,7976.42,,,,,,,,,,,,
2026-01-31,INITIAL,9269904,WKM,HAY,0.1,346.8,,,,,,,,,,,,
2026-01-31,INITIAL,9269902,WKM,HAY,5.0,17340.05,,,,,,,,,,,,
2026-01-31,INITIAL,9269901,WKM,HAY,5.0,17340.05,,,,,,,,,,,,
2026-01-31,INITIAL,9269798,WKM,HAY,10.0,34680.1,,,,,,,,,,,,
2026-01-31,INITIAL,9269903,WKM,HAY,5.0,17340.05,,,,,,,,,,,,
2026-01-31,INITIAL,9270126,WKM,HAY,3.1,10750.83,,,,,,,,,,,,
2026-01-31,INITIAL,9269667,ISL,WKM,1.3,3393.03,,,,,,,,,,,,
2026-01-31,INITIAL,9270080,KIK,WKM,0.1,195.39,,,,,,,,,,,,
2026-01-31,INITIAL,9270100,OTA,WKM,6.0,-45725.82,,,,,,,,,,,,
2026-01-31,INITIAL,9270122,RDF,WKM,11.5,10530.21,,,,,,,,,,,,
2026-01-31,INITIAL,9225000,RDF,WKM,3.9,3571.11,,,,,,,,,,,,
2026-01-31,INITIAL,9269804,RDF,WKM,25.1,22983.32,,,,,,,,,,,,
2026-01-31,INITIAL,9270110,BEN,INV,17.1,83961.17,,,,,,,,,,,,
2026-01-31,INITIAL,9269837,BEN,INV,23.2,113912.23,,,,,,,,,,,,
2026-01-31,INITIAL,9270373,BEN,INV,0.6,2946.01,,,,,,,,,,,,
2026-01-31,INITIAL,9269917,BEN,INV,3.6,15443.82,,,,,,,,,,,,
2026-01-31,INITIAL,9269694,BEN,ISL,0.2,2265.38,,,,,,,,,,,,
2026-01-31,INITIAL,9270128,BEN,ISL,0.3,3398.07,,,,,,,,,,,,
2026-01-31,INITIAL,9270372,BEN,ISL,9.1,103074.88,,,,,,,,,,,,
2026-01-31,INITIAL,9270049,HAY,ISL,0.6,1842.88,,,,,,,,,,,,
2026-01-31,INITIAL,9269701,HAY,ISL,6.0,18428.76,,,,,,,,,,,,
2026-01-31,INITIAL,9269676,OTA,ISL,1.6,12990.98,,,,,,,,,,,,
2026-01-31,INITIAL,9269715,ISL,KIK,0.2,1116.11,,,,,,,,,,,,
2026-01-31,INITIAL,9270115,ISL,KIK,3.8,21206.05,,,,,,,,,,,,
2026-01-31,INITIAL,9270129,ISL,KIK,0.2,1116.11,,,,,,,,,,,,
2026-01-31,INITIAL,9269537,HAY,OTA,1.7,15578.65,,,,,,,,,,,,
2026-01-31,INITIAL,9270368,HAY,OTA,0.1,916.39,,,,,,,,,,,,
2026-01-31,INITIAL,9269684,RDF,OTA,1.9,16260.71,,,,,,,,,,,,
