Point of connection,Trading date,Trading period,$/MWh,Price status
OTA2201,2026-01-28,28,7.44,Final
OTA2201,2026-01-28,29,9.29,Final
OTA2201,2026-01-28,30,5.76,Final
OTA2201,2026-01-28,31,3.31,Final
OTA2201,2026-01-28,32,7.03,Final
OTA2201,2026-01-28,33,1.73,Final
OTA2201,2026-01-28,34,1.66,Final
OTA2201,2026-01-28,35,1.39,Final
OTA2201,2026-01-28,36,3.63,Final
OTA2201,2026-01-28,37,1.97,Final
OTA2201,2026-01-28,38,5.36,Final
OTA2201,2026-01-28,39,9.35,Final
OTA2201,2026-01-28,40,5.17,Final
OTA2201,2026-01-28,41,3.79,Final
OTA2201,2026-01-28,42,5.41,Final
OTA2201,2026-01-28,43,7.09,Final
OTA2201,2026-01-28,44,3.61,Final
OTA2201,2026-01-28,45,1.67,Final
OTA2201,2026-01-28,46,0.06,Final
OTA2201,2026-01-28,47,0.03,Final
OTA2201,2026-01-28,48,0.02,Final
OTA2201,2026-01-27,1,0.02,Final
OTA2201,2026-01-27,2,0.01,Final
OTA2201,2026-01-27,3,0.01,Final
OTA2201,2026-01-27,4,0.01,Final
OTA2201,2026-01-27,5,0.02,Final
OTA2201,2026-01-27,6,0.02,Final
OTA2201,2026-01-27,7,0.01,Final
OTA2201,2026-01-27,8,0.02,Final
OTA2201,2026-01-27,9,0.02,Final
OTA2201,2026-01-27,10,0.01,Final
OTA2201,2026-01-27,11,0.02,Final
OTA2201,2026-01-27,12,0.04,Final
OTA2201,2026-01-27,13,1.48,Final
OTA2201,2026-01-27,14,1.86,Final
OTA2201,2026-01-27,15,6.76,Final
OTA2201,2026-01-27,16,7.98,Final
OTA2201,2026-01-27,17,2.51,Final
OTA2201,2026-01-27,18,1.41,Final
OTA2201,2026-01-27,19,1.48,Final
OTA2201,2026-01-27,20,0.64,Final
OTA2201,2026-01-27,21,0.58,Final
OTA2201,2026-01-27,22,0.45,Final
OTA2201,2026-01-27,23,1.24,Final
OTA2201,2026-01-27,24,1.34,Final
OTA2201,2026-01-27,25,1.3,Final
OTA2201,2026-01-27,26,1.37,Final
OTA2201,2026-01-27,27,1.16,Final
OTA2201,2026-01-27,28,1.45,Final
OTA2201,2026-01-27,29,1.46,Final
OTA2201,2026-01-27,30,1.39,Final
OTA2201,2026-01-27,31,2.16,Final
OTA2201,2026-01-27,32,1.45,Final
OTA2201,2026-01-27,33,1.15,Final
OTA2201,2026-01-27,34,0.05,Final
OTA2201,2026-01-27,35,0.73,Final
OTA2201,2026-01-27,36,1.34,Final
OTA2201,2026-01-27,37,1.63,Final
