Point of connection,Trading date,Trading period,$/MWh,Price status
WKM2201,2026-01-11,26,1.91,Final
WKM2201,2026-01-11,27,1.07,Final
WKM2201,2026-01-11,28,1.83,Final
WKM2201,2026-01-11,29,2.19,Final
WKM2201,2026-01-11,30,2.2,Final
WKM2201,2026-01-11,31,4.55,Final
WKM2201,2026-01-11,32,2.12,Final
WKM2201,2026-01-11,33,2.04,Final
WKM2201,2026-01-11,34,2.18,Final
WKM2201,2026-01-11,35,4.21,Final
WKM2201,2026-01-11,36,9.5,Final
WKM2201,2026-01-11,37,4.05,Final
WKM2201,2026-01-11,38,8.6,Final
WKM2201,2026-01-11,39,4.14,Final
WKM2201,2026-01-11,40,5.39,Final
WKM2201,2026-01-11,41,2.17,Final
WKM2201,2026-01-11,42,2.16,Final
WKM2201,2026-01-11,43,2.19,Final
WKM2201,2026-01-11,44,2.07,Final
WKM2201,2026-01-11,45,1.22,Final
WKM2201,2026-01-11,46,0.08,Final
WKM2201,2026-01-11,47,0.02,Final
WKM2201,2026-01-11,48,0.01,Final
WKM2201,2026-01-10,1,0.03,Final
WKM2201,2026-01-10,2,0.02,Final
WKM2201,2026-01-10,3,0.01,Final
WKM2201,2026-01-10,4,0.01,Final
WKM2201,2026-01-10,5,0.01,Final
WKM2201,2026-01-10,6,0.01,Final
WKM2201,2026-01-10,7,0.01,Final
WKM2201,2026-01-10,8,0.01,Final
WKM2201,2026-01-10,9,0.01,Final
WKM2201,2026-01-10,10,0.01,Final
WKM2201,2026-01-10,11,0.01,Final
WKM2201,2026-01-10,12,0.01,Final
WKM2201,2026-01-10,13,0.01,Final
WKM2201,2026-01-10,14,0.01,Final
WKM2201,2026-01-10,15,0.01,Final
WKM2201,2026-01-10,16,0.02,Final
WKM2201,2026-01-10,17,0.02,Final
WKM2201,2026-01-10,18,0.03,Final
WKM2201,2026-01-10,19,1.72,Final
WKM2201,2026-01-10,20,2.03,Final
WKM2201,2026-01-10,21,1.99,Final
WKM2201,2026-01-10,22,1.86,Final
WKM2201,2026-01-10,23,1.02,Final
WKM2201,2026-01-10,24,1.92,Final
WKM2201,2026-01-10,25,1.81,Final
WKM2201,2026-01-10,26,2.06,Final
WKM2201,2026-01-10,27,2.08,Final
WKM2201,2026-01-10,28,2.17,Final
WKM2201,2026-01-10,29,2.18,Final
WKM2201,2026-01-10,30,2.18,Final
WKM2201,2026-01-10,31,2.17,Final
WKM2201,2026-01-10,32,2.17,Final
WKM2201,2026-01-10,33,2.28,Final
WKM2201,2026-01-10,34,3.57,Final
WKM2201,2026-01-10,35,9.14,Final
WKM2201,2026-01-10,36,13.84,Final
WKM2201,2026-01-10,37,9.9,Final
WKM2201,2026-01-10,38,9.77,Final
WKM2201,2026-01-10,39,7.22,Final
WKM2201,2026-01-10,40,3.18,Final
WKM2201,2026-01-10,41,2.11,Final
WKM2201,2026-01-10,42,2.13,Final
WKM2201,2026-01-10,43,1.84,Final
WKM2201,2026-01-10,44,1.53,Final
WKM2201,2026-01-10,45,1.15,Final
WKM2201,2026-01-10,46,0.8,Final
WKM2201,2026-01-10,47,0.03,Final
WKM2201,2026-01-10,48,0.02,Final
WKM2201,2026-01-09,1,0.34,Final
WKM2201,2026-01-09,2,0.01,Final
WKM2201,2026-01-09,3,0.01,Final
WKM2201,2026-01-09,4,0.01,Final
WKM2201,2026-01-09,5,0.01,Final
WKM2201,2026-01-09,6,0.01,Final
WKM2201,2026-01-09,7,0.01,Final
WKM2201,2026-01-09,8,0.01,Final
WKM2201,2026-01-09,9,0.01,Final
WKM2201,2026-01-09,10,0.01,Final
WKM2201,2026-01-09,11,0.01,Final
WKM2201,2026-01-09,12,1.47,Final
WKM2201,2026-01-09,13,1.52,Final
WKM2201,2026-01-09,14,1.69,Final
WKM2201,2026-01-09,15,1.86,Final
WKM2201,2026-01-09,16,2.12,Final
WKM2201,2026-01-09,17,1.74,Final
WKM2201,2026-01-09,18,1.93,Final
WKM2201,2026-01-09,19,6.57,Final
WKM2201,2026-01-09,20,2.27,Final
WKM2201,2026-01-09,21,1.77,Final
WKM2201,2026-01-09,22,2.15,Final
WKM2201,2026-01-09,23,1.1,Final
WKM2201,2026-01-09,24,1.27,Final
WKM2201,2026-01-09,25,2.17,Final
WKM2201,2026-01-09,26,2.2,Final
WKM2201,2026-01-09,27,1.57,Final
WKM2201,2026-01-09,28,0.8,Final
WKM2201,2026-01-09,29,1.25,Final
WKM2201,2026-01-09,30,1.95,Final
WKM2201,2026-01-09,31,2.16,Final
WKM2201,2026-01-09,32,4.25,Final
WKM2201,2026-01-09,33,2.63,Final
WKM2201,2026-01-09,34,5.27,Final
WKM2201,2026-01-09,35,11.21,Final
WKM2201,2026-01-09,36,18.38,Final
WKM2201,2026-01-09,37,13.56,Final
WKM2201,2026-01-09,38,8.01,Final
WKM2201,2026-01-09,39,8.68,Final
WKM2201,2026-01-09,40,5.24,Final
WKM2201,2026-01-09,41,2.2,Final
WKM2201,2026-01-09,42,2.19,Final
WKM2201,2026-01-09,43,2.21,Final
WKM2201,2026-01-09,44,2.21,Final
WKM2201,2026-01-09,45,1.45,Final
WKM2201,2026-01-09,46,0.09,Final
WKM2201,2026-01-09,47,0.69,Final
WKM2201,2026-01-09,48,0.69,Final
WKM2201,2026-01-08,1,4.57,Final
WKM2201,2026-01-08,2,1.08,Final
WKM2201,2026-01-08,3,0.01,Final
WKM2201,2026-01-08,4,0.01,Final
WKM2201,2026-01-08,5,0.02,Final
WKM2201,2026-01-08,6,0.02,Final
WKM2201,2026-01-08,7,0.01,Final
WKM2201,2026-01-08,8,0.02,Final
WKM2201,2026-01-08,9,0.02,Final
WKM2201,2026-01-08,10,0.01,Final
WKM2201,2026-01-08,11,2.46,Final
WKM2201,2026-01-08,12,6.89,Final
WKM2201,2026-01-08,13,2.16,Final
WKM2201,2026-01-08,14,3.98,Final
WKM2201,2026-01-08,15,6.6,Final
WKM2201,2026-01-08,16,8.62,Final
WKM2201,2026-01-08,17,9.95,Final
WKM2201,2026-01-08,18,5.09,Final
WKM2201,2026-01-08,19,1.07,Final
WKM2201,2026-01-08,20,0.96,Final
WKM2201,2026-01-08,21,1.09,Final
WKM2201,2026-01-08,22,1.09,Final
WKM2201,2026-01-08,23,1.11,Final
WKM2201,2026-01-08,24,1.12,Final
WKM2201,2026-01-08,25,8.13,Final
WKM2201,2026-01-08,26,7.84,Final
WKM2201,2026-01-08,27,7.47,Final
WKM2201,2026-01-08,28,1.44,Final
WKM2201,2026-01-08,29,8.31,Final
WKM2201,2026-01-08,30,10.99,Final
WKM2201,2026-01-08,31,10.16,Final
WKM2201,2026-01-08,32,11.37,Final
WKM2201,2026-01-08,33,13.62,Final
WKM2201,2026-01-08,34,17.41,Final
WKM2201,2026-01-08,35,14.21,Final
WKM2201,2026-01-08,36,19.11,Final
WKM2201,2026-01-08,37,5.59,Final
WKM2201,2026-01-08,38,2.38,Final
WKM2201,2026-01-08,39,2.36,Final
WKM2201,2026-01-08,40,2.36,Final
WKM2201,2026-01-08,41,2.35,Final
WKM2201,2026-01-08,42,2.32,Final
WKM2201,2026-01-08,43,2.33,Final
WKM2201,2026-01-08,44,2.34,Final
WKM2201,2026-01-08,45,0.66,Final
WKM2201,2026-01-08,46,0.44,Final
WKM2201,2026-01-08,47,0.05,Final
WKM2201,2026-01-08,48,0.95,Final
WKM2201,2026-01-07,1,4.55,Final
WKM2201,2026-01-07,2,0.01,Final
WKM2201,2026-01-07,3,0.01,Final
WKM2201,2026-01-07,4,0.01,Final
WKM2201,2026-01-07,5,0.02,Final
WKM2201,2026-01-07,6,0.02,Final
WKM2201,2026-01-07,7,0.02,Final
WKM2201,2026-01-07,8,0.02,Final
WKM2201,2026-01-07,9,0.02,Final
WKM2201,2026-01-07,10,0.02,Final
WKM2201,2026-01-07,11,0.01,Final
WKM2201,2026-01-07,12,0.01,Final
WKM2201,2026-01-07,13,1.47,Final
WKM2201,2026-01-07,14,1.55,Final
WKM2201,2026-01-07,15,1.87,Final
WKM2201,2026-01-07,16,2.24,Final
WKM2201,2026-01-07,17,5.96,Final
WKM2201,2026-01-07,18,0.28,Final
WKM2201,2026-01-07,19,1.16,Final
WKM2201,2026-01-07,20,0.42,Final
WKM2201,2026-01-07,21,0.69,Final
WKM2201,2026-01-07,22,1.15,Final
WKM2201,2026-01-07,23,1.15,Final
WKM2201,2026-01-07,24,0.84,Final
WKM2201,2026-01-07,25,0.87,Final
WKM2201,2026-01-07,26,0.38,Final
WKM2201,2026-01-07,27,0.53,Final
WKM2201,2026-01-07,28,0.73,Final
WKM2201,2026-01-07,29,0.19,Final
WKM2201,2026-01-07,30,0.94,Final
WKM2201,2026-01-07,31,0.84,Final
WKM2201,2026-01-07,32,2.32,Final
WKM2201,2026-01-07,33,4.53,Final
WKM2201,2026-01-07,34,3.64,Final
WKM2201,2026-01-07,35,4.75,Final
WKM2201,2026-01-07,36,3.68,Final
WKM2201,2026-01-07,37,1.83,Final
WKM2201,2026-01-07,38,3.46,Final
WKM2201,2026-01-07,39,2.3,Final
WKM2201,2026-01-07,40,2.24,Final
WKM2201,2026-01-07,41,2.3,Final
WKM2201,2026-01-07,42,2.31,Final
WKM2201,2026-01-07,43,11.95,Final
WKM2201,2026-01-07,44,12.99,Final
WKM2201,2026-01-07,45,8.23,Final
WKM2201,2026-01-07,46,10.74,Final
WKM2201,2026-01-07,47,6.69,Final
WKM2201,2026-01-07,48,2.23,Final
WKM2201,2026-01-06,1,0.41,Final
WKM2201,2026-01-06,2,0.01,Final
WKM2201,2026-01-06,3,0.01,Final
WKM2201,2026-01-06,4,0.01,Final
WKM2201,2026-01-06,5,0.01,Final
WKM2201,2026-01-06,6,0.01,Final
WKM2201,2026-01-06,7,0.01,Final
WKM2201,2026-01-06,8,0.01,Final
WKM2201,2026-01-06,9,0.01,Final
WKM2201,2026-01-06,10,0.01,Final
WKM2201,2026-01-06,11,0.01,Final
WKM2201,2026-01-06,12,0.01,Final
WKM2201,2026-01-06,13,0.01,Final
WKM2201,2026-01-06,14,0.41,Final
WKM2201,2026-01-06,15,1.88,Final
WKM2201,2026-01-06,16,1.16,Final
WKM2201,2026-01-06,17,2.08,Final
WKM2201,2026-01-06,18,0.22,Final
WKM2201,2026-01-06,19,0.03,Final
WKM2201,2026-01-06,20,0.04,Final
WKM2201,2026-01-06,21,0.03,Final
WKM2201,2026-01-06,22,0.03,Final
WKM2201,2026-01-06,23,0.03,Final
WKM2201,2026-01-06,24,0.03,Final
WKM2201,2026-01-06,25,0.46,Final
WKM2201,2026-01-06,26,0.23,Final
WKM2201,2026-01-06,27,0.03,Final
WKM2201,2026-01-06,28,0.02,Final
WKM2201,2026-01-06,29,0.31,Final
WKM2201,2026-01-06,30,1.77,Final
WKM2201,2026-01-06,31,2.89,Final
WKM2201,2026-01-06,32,6.07,Final
WKM2201,2026-01-06,33,9.22,Final
WKM2201,2026-01-06,34,9.6,Final
WKM2201,2026-01-06,35,6.61,Final
WKM2201,2026-01-06,36,3.02,Final
WKM2201,2026-01-06,37,3.03,Final
WKM2201,2026-01-06,38,2.49,Final
WKM2201,2026-01-06,39,2.39,Final
WKM2201,2026-01-06,40,2.37,Final
WKM2201,2026-01-06,41,2.37,Final
WKM2201,2026-01-06,42,3.34,Final
WKM2201,2026-01-06,43,8.33,Final
WKM2201,2026-01-06,44,5.3,Final
WKM2201,2026-01-06,45,3.27,Final
WKM2201,2026-01-06,46,7.35,Final
WKM2201,2026-01-06,47,9.18,Final
WKM2201,2026-01-06,48,11.16,Final
WKM2201,2026-01-05,1,0.01,Final
WKM2201,2026-01-05,2,0.01,Final
WKM2201,2026-01-05,3,0.01,Final
WKM2201,2026-01-05,4,0.01,Final
WKM2201,2026-01-05,5,0.01,Final
WKM2201,2026-01-05,6,0.01,Final
WKM2201,2026-01-05,7,0.01,Final
WKM2201,2026-01-05,8,0.01,Final
WKM2201,2026-01-05,9,0.01,Final
WKM2201,2026-01-05,10,0.01,Final
WKM2201,2026-01-05,11,0.01,Final
WKM2201,2026-01-05,12,0.01,Final
WKM2201,2026-01-05,13,0.02,Final
WKM2201,2026-01-05,14,1.51,Final
WKM2201,2026-01-05,15,2.24,Final
WKM2201,2026-01-05,16,2.27,Final
WKM2201,2026-01-05,17,2.27,Final
WKM2201,2026-01-05,18,0.39,Final
WKM2201,2026-01-05,19,1.93,Final
WKM2201,2026-01-05,20,1.09,Final
WKM2201,2026-01-05,21,2.08,Final
WKM2201,2026-01-05,22,0.03,Final
WKM2201,2026-01-05,23,1.56,Final
WKM2201,2026-01-05,24,1.94,Final
WKM2201,2026-01-05,25,2.3,Final
WKM2201,2026-01-05,26,1.15,Final
WKM2201,2026-01-05,27,0.44,Final
WKM2201,2026-01-05,28,0.02,Final
WKM2201,2026-01-05,29,0.96,Final
WKM2201,2026-01-05,30,1.13,Final
WKM2201,2026-01-05,31,1.13,Final
WKM2201,2026-01-05,32,1.13,Final
WKM2201,2026-01-05,33,1.72,Final
WKM2201,2026-01-05,34,2.15,Final
WKM2201,2026-01-05,35,2.3,Final
WKM2201,2026-01-05,36,2.04,Final
WKM2201,2026-01-05,37,2.74,Final
WKM2201,2026-01-05,38,2.31,Final
WKM2201,2026-01-05,39,2.3,Final
WKM2201,2026-01-05,40,2.3,Final
WKM2201,2026-01-05,41,2.33,Final
WKM2201,2026-01-05,42,2.4,Final
WKM2201,2026-01-05,43,2.98,Final
WKM2201,2026-01-05,44,2.36,Final
WKM2201,2026-01-05,45,2.7,Final
WKM2201,2026-01-05,46,2.75,Final
WKM2201,2026-01-05,47,5.34,Final
WKM2201,2026-01-05,48,1.61,Final
WKM2201,2026-01-04,1,0.01,Final
WKM2201,2026-01-04,2,0.01,Final
WKM2201,2026-01-04,3,0.01,Final
WKM2201,2026-01-04,4,0.01,Final
WKM2201,2026-01-04,5,0.01,Final
WKM2201,2026-01-04,6,0.01,Final
WKM2201,2026-01-04,7,0.01,Final
WKM2201,2026-01-04,8,0.01,Final
WKM2201,2026-01-04,9,0.01,Final
WKM2201,2026-01-04,10,0.01,Final
WKM2201,2026-01-04,11,0.01,Final
WKM2201,2026-01-04,12,0.01,Final
WKM2201,2026-01-04,13,0.01,Final
WKM2201,2026-01-04,14,0.01,Final
WKM2201,2026-01-04,15,0.01,Final
WKM2201,2026-01-04,16,0.01,Final
WKM2201,2026-01-04,17,0.01,Final
WKM2201,2026-01-04,18,0.01,Final
WKM2201,2026-01-04,19,0.01,Final
WKM2201,2026-01-04,20,0.01,Final
WKM2201,2026-01-04,21,0.01,Final
WKM2201,2026-01-04,22,0.01,Final
WKM2201,2026-01-04,23,0.01,Final
WKM2201,2026-01-04,24,0.01,Final
WKM2201,2026-01-04,25,0.01,Final
WKM2201,2026-01-04,26,0.01,Final
WKM2201,2026-01-04,27,0.01,Final
WKM2201,2026-01-04,28,0.01,Final
WKM2201,2026-01-04,29,0.01,Final
WKM2201,2026-01-04,30,0.01,Final
WKM2201,2026-01-04,31,0.01,Final
WKM2201,2026-01-04,32,0.01,Final
WKM2201,2026-01-04,33,0.01,Final
WKM2201,2026-01-04,34,0.01,Final
WKM2201,2026-01-04,35,1.09,Final
WKM2201,2026-01-04,36,1.54,Final
WKM2201,2026-01-04,37,1.18,Final
WKM2201,2026-01-04,38,2.2,Final
WKM2201,2026-01-04,39,2.2,Final
WKM2201,2026-01-04,40,2.29,Final
WKM2201,2026-01-04,41,2.22,Final
WKM2201,2026-01-04,42,2.22,Final
WKM2201,2026-01-04,43,2.27,Final
WKM2201,2026-01-04,44,2.15,Final
WKM2201,2026-01-04,45,1.0,Final
WKM2201,2026-01-04,46,0.02,Final
WKM2201,2026-01-04,47,0.02,Final
WKM2201,2026-01-04,48,0.01,Final
WKM2201,2026-01-03,1,0.01,Final
WKM2201,2026-01-03,2,0.01,Final
WKM2201,2026-01-03,3,0.01,Final
WKM2201,2026-01-03,4,0.01,Final
WKM2201,2026-01-03,5,0.01,Final
WKM2201,2026-01-03,6,0.01,Final
WKM2201,2026-01-03,7,0.01,Final
WKM2201,2026-01-03,8,0.01,Final
WKM2201,2026-01-03,9,0.01,Final
WKM2201,2026-01-03,10,0.01,Final
WKM2201,2026-01-03,11,0.01,Final
WKM2201,2026-01-03,12,0.01,Final
WKM2201,2026-01-03,13,0.01,Final
WKM2201,2026-01-03,14,0.01,Final
WKM2201,2026-01-03,15,0.01,Final
WKM2201,2026-01-03,16,0.01,Final
WKM2201,2026-01-03,17,0.01,Final
WKM2201,2026-01-03,18,0.02,Final
WKM2201,2026-01-03,19,0.01,Final
WKM2201,2026-01-03,20,0.01,Final
WKM2201,2026-01-03,21,0.01,Final
WKM2201,2026-01-03,22,0.01,Final
WKM2201,2026-01-03,23,0.01,Final
WKM2201,2026-01-03,24,0.01,Final
WKM2201,2026-01-03,25,0.01,Final
WKM2201,2026-01-03,26,0.01,Final
WKM2201,2026-01-03,27,0.01,Final
WKM2201,2026-01-03,28,0.02,Final
WKM2201,2026-01-03,29,0.01,Final
WKM2201,2026-01-03,30,0.01,Final
WKM2201,2026-01-03,31,0.01,Final
WKM2201,2026-01-03,32,0.01,Final
WKM2201,2026-01-03,33,0.01,Final
WKM2201,2026-01-03,34,0.01,Final
WKM2201,2026-01-03,35,0.01,Final
WKM2201,2026-01-03,36,0.01,Final
WKM2201,2026-01-03,37,0.01,Final
WKM2201,2026-01-03,38,0.01,Final
WKM2201,2026-01-03,39,0.01,Final
WKM2201,2026-01-03,40,0.01,Final
WKM2201,2026-01-03,41,0.01,Final
WKM2201,2026-01-03,42,0.02,Final
WKM2201,2026-01-03,43,0.01,Final
WKM2201,2026-01-03,44,0.02,Final
WKM2201,2026-01-03,45,0.01,Final
WKM2201,2026-01-03,46,0.01,Final
WKM2201,2026-01-03,47,0.01,Final
WKM2201,2026-01-03,48,0.01,Final
WKM2201,2026-01-02,1,0.01,Final
WKM2201,2026-01-02,2,0.01,Final
WKM2201,2026-01-02,3,0.01,Final
WKM2201,2026-01-02,4,0.01,Final
WKM2201,2026-01-02,5,0.01,Final
WKM2201,2026-01-02,6,0.01,Final
WKM2201,2026-01-02,7,0.01,Final
WKM2201,2026-01-02,8,0.01,Final
WKM2201,2026-01-02,9,0.01,Final
WKM2201,2026-01-02,10,0.01,Final
WKM2201,2026-01-02,11,0.01,Final
WKM2201,2026-01-02,12,0.01,Final
WKM2201,2026-01-02,13,0.01,Final
WKM2201,2026-01-02,14,0.01,Final
WKM2201,2026-01-02,15,0.01,Final
WKM2201,2026-01-02,16,0.01,Final
WKM2201,2026-01-02,17,0.01,Final
WKM2201,2026-01-02,18,0.01,Final
WKM2201,2026-01-02,19,0.01,Final
WKM2201,2026-01-02,20,0.01,Final
WKM2201,2026-01-02,21,0.01,Final
WKM2201,2026-01-02,22,0.01,Final
WKM2201,2026-01-02,23,0.01,Final
WKM2201,2026-01-02,24,0.01,Final
WKM2201,2026-01-02,25,0.01,Final
WKM2201,2026-01-02,26,0.01,Final
WKM2201,2026-01-02,27,0.01,Final
WKM2201,2026-01-02,28,0.01,Final
WKM2201,2026-01-02,29,0.01,Final
WKM2201,2026-01-02,30,0.01,Final
WKM2201,2026-01-02,31,0.02,Final
WKM2201,2026-01-02,32,0.01,Final
WKM2201,2026-01-02,33,0.02,Final
WKM2201,2026-01-02,34,0.07,Final
WKM2201,2026-01-02,35,1.34,Final
WKM2201,2026-01-02,36,2.11,Final
WKM2201,2026-01-02,37,2.17,Final
WKM2201,2026-01-02,38,3.91,Final
WKM2201,2026-01-02,39,2.15,Final
WKM2201,2026-01-02,40,2.15,Final
WKM2201,2026-01-02,41,2.11,Final
WKM2201,2026-01-02,42,2.12,Final
WKM2201,2026-01-02,43,2.16,Final
WKM2201,2026-01-02,44,1.74,Final
WKM2201,2026-01-02,45,0.37,Final
WKM2201,2026-01-02,46,0.02,Final
WKM2201,2026-01-02,47,0.02,Final
WKM2201,2026-01-02,48,0.01,Final
WKM2201,2026-01-01,1,0.01,Final
WKM2201,2026-01-01,2,0.01,Final
WKM2201,2026-01-01,3,0.01,Final
WKM2201,2026-01-01,4,0.01,Final
WKM2201,2026-01-01,5,0.01,Final
WKM2201,2026-01-01,6,0.01,Final
WKM2201,2026-01-01,7,0.01,Final
WKM2201,2026-01-01,8,0.01,Final
WKM2201,2026-01-01,9,0.01,Final
WKM2201,2026-01-01,10,0.01,Final
WKM2201,2026-01-01,11,0.01,Final
WKM2201,2026-01-01,12,0.01,Final
WKM2201,2026-01-01,13,0.01,Final
WKM2201,2026-01-01,14,0.01,Final
WKM2201,2026-01-01,15,0.01,Final
WKM2201,2026-01-01,16,0.01,Final
WKM2201,2026-01-01,17,0.01,Final
WKM2201,2026-01-01,18,0.02,Final
WKM2201,2026-01-01,19,0.01,Final
WKM2201,2026-01-01,20,0.01,Final
WKM2201,2026-01-01,21,0.01,Final
WKM2201,2026-01-01,22,0.01,Final
WKM2201,2026-01-01,23,0.01,Final
WKM2201,2026-01-01,24,0.01,Final
WKM2201,2026-01-01,25,0.01,Final
WKM2201,2026-01-01,26,0.01,Final
WKM2201,2026-01-01,27,0.01,Final
WKM2201,2026-01-01,28,0.01,Final
WKM2201,2026-01-01,29,0.01,Final
WKM2201,2026-01-01,30,0.01,Final
WKM2201,2026-01-01,31,0.01,Final
WKM2201,2026-01-01,32,0.01,Final
WKM2201,2026-01-01,33,0.01,Final
WKM2201,2026-01-01,34,0.01,Final
WKM2201,2026-01-01,35,0.01,Final
WKM2201,2026-01-01,36,0.02,Final
WKM2201,2026-01-01,37,0.02,Final
WKM2201,2026-01-01,38,0.02,Final
WKM2201,2026-01-01,39,0.02,Final
WKM2201,2026-01-01,40,0.02,Final
WKM2201,2026-01-01,41,0.01,Final
WKM2201,2026-01-01,42,0.01,Final
WKM2201,2026-01-01,43,0.02,Final
WKM2201,2026-01-01,44,0.01,Final
WKM2201,2026-01-01,45,0.01,Final
WKM2201,2026-01-01,46,0.01,Final
WKM2201,2026-01-01,47,0.01,Final
WKM2201,2026-01-01,48,0.01,Final
RDF2201,2026-01-30,1,2.93,Interim
RDF2201,2026-01-30,2,1.14,Interim
RDF2201,2026-01-30,3,0.02,Interim
RDF2201,2026-01-30,4,0.01,Interim
RDF2201,2026-01-30,5,0.03,Interim
RDF2201,2026-01-30,6,0.01,Interim
RDF2201,2026-01-30,7,0.01,Interim
RDF2201,2026-01-30,8,0.01,Interim
RDF2201,2026-01-30,9,0.01,Interim
RDF2201,2026-01-30,10,0.24,Interim
RDF2201,2026-01-30,11,0.88,Interim
RDF2201,2026-01-30,12,0.3,Interim
RDF2201,2026-01-30,13,1.07,Interim
RDF2201,2026-01-30,14,0.4,Interim
RDF2201,2026-01-30,15,0.96,Interim
RDF2201,2026-01-30,16,1.13,Interim
RDF2201,2026-01-30,17,1.12,Interim
RDF2201,2026-01-30,18,0.33,Interim
RDF2201,2026-01-30,19,0.18,Interim
RDF2201,2026-01-30,20,0.03,Interim
RDF2201,2026-01-30,21,0.02,Interim
RDF2201,2026-01-30,22,0.02,Interim
RDF2201,2026-01-30,23,1.14,Interim
RDF2201,2026-01-30,24,0.21,Interim
RDF2201,2026-01-30,25,0.42,Interim
RDF2201,2026-01-30,26,1.66,Interim
RDF2201,2026-01-30,27,1.7,Interim
RDF2201,2026-01-30,28,1.01,Interim
RDF2201,2026-01-30,29,0.92,Interim
RDF2201,2026-01-30,30,1.52,Interim
RDF2201,2026-01-30,31,2.71,Interim
RDF2201,2026-01-30,32,2.87,Interim
RDF2201,2026-01-30,33,2.99,Interim
RDF2201,2026-01-30,34,2.59,Interim
RDF2201,2026-01-30,35,2.93,Interim
RDF2201,2026-01-30,36,3.57,Interim
RDF2201,2026-01-30,37,6.66,Interim
RDF2201,2026-01-30,38,8.86,Interim
RDF2201,2026-01-30,39,8.9,Interim
RDF2201,2026-01-30,40,8.88,Interim
RDF2201,2026-01-30,41,8.67,Interim
RDF2201,2026-01-30,42,9.3,Interim
RDF2201,2026-01-30,43,9.76,Interim
RDF2201,2026-01-30,44,9.62,Interim
RDF2201,2026-01-30,45,3.42,Interim
RDF2201,2026-01-30,46,3.55,Interim
RDF2201,2026-01-30,47,1.69,Interim
RDF2201,2026-01-30,48,1.36,Interim
RDF2201,2026-01-29,1,0.02,Final
RDF2201,2026-01-29,2,0.01,Final
RDF2201,2026-01-29,3,0.01,Final
RDF2201,2026-01-29,4,0.01,Final
RDF2201,2026-01-29,5,0.01,Final
RDF2201,2026-01-29,6,0.01,Final
RDF2201,2026-01-29,7,0.01,Final
RDF2201,2026-01-29,8,0.01,Final
RDF2201,2026-01-29,9,0.01,Final
RDF2201,2026-01-29,10,0.14,Final
RDF2201,2026-01-29,11,0.02,Final
RDF2201,2026-01-29,12,0.48,Final
RDF2201,2026-01-29,13,1.42,Final
RDF2201,2026-01-29,14,0.73,Final
RDF2201,2026-01-29,15,1.13,Final
RDF2201,2026-01-29,16,1.09,Final
RDF2201,2026-01-29,17,1.09,Final
RDF2201,2026-01-29,18,0.88,Final
RDF2201,2026-01-29,19,0.54,Final
RDF2201,2026-01-29,20,0.34,Final
RDF2201,2026-01-29,21,0.45,Final
RDF2201,2026-01-29,22,0.78,Final
RDF2201,2026-01-29,23,0.98,Final
RDF2201,2026-01-29,24,0.67,Final
RDF2201,2026-01-29,25,0.79,Final
RDF2201,2026-01-29,26,0.44,Final
RDF2201,2026-01-29,27,0.65,Final
RDF2201,2026-01-29,28,1.08,Final
RDF2201,2026-01-29,29,1.1,Final
RDF2201,2026-01-29,30,1.14,Final
RDF2201,2026-01-29,31,1.15,Final
RDF2201,2026-01-29,32,1.16,Final
RDF2201,2026-01-29,33,1.16,Final
RDF2201,2026-01-29,34,1.24,Final
RDF2201,2026-01-29,35,1.17,Final
RDF2201,2026-01-29,36,1.39,Final
RDF2201,2026-01-29,37,1.7,Final
RDF2201,2026-01-29,38,3.5,Final
RDF2201,2026-01-29,39,9.49,Final
RDF2201,2026-01-29,40,9.6,Final
RDF2201,2026-01-29,41,7.53,Final
RDF2201,2026-01-29,42,9.88,Final
RDF2201,2026-01-29,43,11.18,Final
RDF2201,2026-01-29,44,8.52,Final
RDF2201,2026-01-29,45,3.4,Final
RDF2201,2026-01-29,46,1.12,Final
RDF2201,2026-01-29,47,2.06,Final
RDF2201,2026-01-29,48,0.54,Final
RDF2201,2026-01-28,1,1.53,Final
RDF2201,2026-01-28,2,0.29,Final
RDF2201,2026-01-28,3,0.02,Final
RDF2201,2026-01-28,4,0.01,Final
RDF2201,2026-01-28,5,0.01,Final
RDF2201,2026-01-28,6,0.01,Final
RDF2201,2026-01-28,7,0.01,Final
RDF2201,2026-01-28,8,0.01,Final
RDF2201,2026-01-28,9,0.01,Final
RDF2201,2026-01-28,10,0.01,Final
RDF2201,2026-01-28,11,0.49,Final
RDF2201,2026-01-28,12,3.84,Final
RDF2201,2026-01-28,13,4.18,Final
RDF2201,2026-01-28,14,1.77,Final
RDF2201,2026-01-28,15,6.76,Final
RDF2201,2026-01-28,16,8.95,Final
RDF2201,2026-01-28,17,2.61,Final
RDF2201,2026-01-28,18,1.2,Final
RDF2201,2026-01-28,19,1.09,Final
RDF2201,2026-01-28,20,1.17,Final
RDF2201,2026-01-28,21,1.2,Final
RDF2201,2026-01-28,22,1.34,Final
RDF2201,2026-01-28,23,7.07,Final
RDF2201,2026-01-28,24,3.99,Final
RDF2201,2026-01-28,25,3.37,Final
RDF2201,2026-01-28,26,6.08,Final
RDF2201,2026-01-28,27,7.73,Final
RDF2201,2026-01-28,28,6.82,Final
RDF2201,2026-01-28,29,8.55,Final
RDF2201,2026-01-28,30,5.29,Final
RDF2201,2026-01-28,31,3.05,Final
RDF2201,2026-01-28,32,6.39,Final
RDF2201,2026-01-28,33,1.58,Final
RDF2201,2026-01-28,34,1.51,Final
